year,risk_factors_2plus_by15,reg,age_desc,x_gender_desc,all,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl
2013,1,Nelson Region,20-24,Female,228,2712,2682,24,276,33,549,459,6,1215,117,1467,1182
2013,1,Nelson Region,20-24,Male,255,3036,3027,12,249,156,1149,480,162,660,159,879,1938
2013,1,Northland Region,15-19,All,2685,32244,31974,16722,4581,216,1332,1530,117,6060,1413,5019,5328
2013,1,Northland Region,15-19,Female,1350,16224,16092,9096,2265,33,357,636,15,3057,633,3021,2388
2013,1,Northland Region,15-19,Male,1335,16020,15885,7632,2313,183,975,894,102,3003,783,1998,2940
2013,1,Northland Region,20-24,All,2319,27840,27558,84,3888,657,4731,3732,783,12231,1452,14898,10161
2013,1,Northland Region,20-24,Female,1167,13980,13836,60,2058,93,1545,1887,51,7596,540,9363,4059
2013,1,Northland Region,20-24,Male,1155,13860,13722,24,1830,564,3186,1842,732,4635,909,5535,6102
2013,1,Otago Region,15-19,All,1389,16680,16596,8994,2151,180,1050,1263,48,2319,588,2637,4932
2013,1,Otago Region,15-19,Female,678,8136,8082,4662,1053,33,342,633,0,1110,249,1407,2346
2013,1,Otago Region,15-19,Male,711,8544,8514,4329,1098,147,708,630,48,1206,342,1233,2583
2013,1,Otago Region,20-24,All,1377,16524,16356,93,2643,702,4296,2364,333,5052,873,6681,8718
2013,1,Otago Region,20-24,Female,672,8064,7977,33,1581,237,1581,1254,18,2949,321,3606,3909
2013,1,Otago Region,20-24,Male,705,8460,8376,60,1062,465,2715,1110,318,2100,552,3078,4809
2013,1,Southland Region,15-19,All,957,11508,11442,6012,1155,150,930,939,87,1722,450,1821,3471
2013,1,Southland Region,15-19,Female,480,5748,5721,3300,648,42,225,411,0,918,174,1065,1470
2013,1,Southland Region,15-19,Male,480,5760,5721,2712,507,111,705,528,87,804,276,753,2004
2013,1,Southland Region,20-24,All,954,11436,11349,141,1044,471,2874,1740,300,4164,612,5064,5688
2013,1,Southland Region,20-24,Female,507,6072,6027,51,564,111,1065,1074,15,2874,276,3186,2544
2013,1,Southland Region,20-24,Male,447,5364,5322,90,480,363,1809,669,282,1290,339,1878,3141
2013,1,Taranaki Region,15-19,All,1236,14832,14733,7977,1596,114,924,1053,60,2385,621,1884,3396
2013,1,Taranaki Region,15-19,Female,600,7188,7137,4026,792,21,294,540,0,1170,288,1089,1512
2013,1,Taranaki Region,15-19,Male,639,7644,7593,3948,804,93,630,513,57,1215,336,795,1884
2013,1,Taranaki Region,20-24,All,1197,14376,14250,27,1527,390,4173,2148,270,4923,789,5424,7383
2013,1,Taranaki Region,20-24,Female,597,7164,7107,18,909,75,1296,1221,12,3246,327,3594,2937
2013,1,Taranaki Region,20-24,Male,600,7212,7143,12,618,315,2877,927,258,1674,462,1827,4446
2013,1,Tasman Region,15-19,All,315,3756,3741,2166,276,30,372,369,0,351,174,339,1311
2013,1,Tasman Region,15-19,Female,147,1764,1752,1053,147,0,99,147,0,246,57,237,573
2013,1,Tasman Region,15-19,Male,165,1992,1989,1113,129,30,273,222,0,105,117,102,738
2013,1,Tasman Region,20-24,All,273,3300,3273,15,345,117,1116,555,30,894,201,1119,1998
2013,1,Tasman Region,20-24,Female,120,1452,1452,0,186,30,375,231,0,573,51,600,744
2013,1,Tasman Region,20-24,Male,156,1848,1824,12,162,87,741,324,27,324,147,519,1254
2013,1,Waikato Region,15-19,All,5097,61140,60588,30291,7677,444,3324,4086,219,11883,2661,8943,12630
2013,1,Waikato Region,15-19,Female,2496,29976,29691,15537,3768,108,876,1908,6,6297,1191,5283,5508
2013,1,Waikato Region,15-19,Male,2595,31164,30900,14757,3909,336,2448,2181,213,5586,1470,3660,7122
2013,1,Waikato Region,20-24,All,4893,58716,58119,168,7920,1875,13368,7713,1299,22737,3033,25638,25821
2013,1,Waikato Region,20-24,Female,2463,29544,29217,87,4968,426,4104,3873,30,14577,1149,16443,10200
2013,1,Waikato Region,20-24,Male,2430,29172,28899,81,2949,1449,9264,3843,1269,8160,1887,9198,15624
2013,1,Wellington Region,15-19,All,3714,44556,44166,24066,6222,213,2223,2829,75,6747,1797,6150,9510
2013,1,Wellington Region,15-19,Female,1812,21744,21525,12387,3021,78,642,1287,0,3336,777,3474,4290
2013,1,Wellington Region,15-19,Male,1902,22812,22641,11676,3201,135,1581,1542,72,3414,1020,2676,5223
2013,1,Wellington Region,20-24,All,3846,46164,45648,369,6519,1173,11940,7293,720,15312,2319,19071,23493
2013,1,Wellington Region,20-24,Female,1914,22980,22653,225,3801,318,4539,3582,12,9234,942,11694,10227
2013,1,Wellington Region,20-24,Male,1932,23184,22995,147,2718,852,7401,3708,708,6081,1380,7377,13266
