eth,x_gender_desc,year,age,count,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl,pp2_sch,pp2_ter,pp2_sempIT,pp2_semp,pp2_lemp,pp2_cust,pp2_lt6_neet,pp2_st6_neet,pp3_ben,pp3_ws_empl
European,All,2015,17,36093,433116,427494,361902,23172,1347,11073,10872,63,13599,5457,10680,165417,0.846566268,0.05420427,0.003150921,0.025902118,0.025431936,0.00014737,0.031810973,0.012765091,0.024982807,0.386945782
European,All,2015,18,33771,405276,399072,206115,76377,4323,41448,34794,342,22329,13341,21666,215181,0.516485747,0.191386517,0.010832632,0.103860957,0.087187274,0.000856988,0.055952309,0.033430058,0.054290955,0.539203452
European,All,2015,19,32823,393900,386565,13389,159876,7623,89469,59289,438,35937,20550,40332,241371,0.034635831,0.413581157,0.01971984,0.231446199,0.153373947,0.001133057,0.092964961,0.053160529,0.104334329,0.624399519
European,All,2015,20,33984,407820,400212,2928,159936,9435,117489,53202,555,40269,16398,45732,274956,0.007316122,0.399628197,0.023575005,0.29356691,0.132934545,0.001386765,0.100619172,0.040973284,0.114269437,0.687025876
European,All,2015,21,33603,403212,394572,2256,140058,10758,135633,47112,645,42969,15135,48156,281274,0.005717588,0.354961832,0.027264986,0.343747149,0.119400262,0.001634683,0.108900277,0.038358018,0.122046166,0.71285849
European,All,2015,22,33915,407004,396720,339,108720,12405,170181,43059,843,46689,14481,49056,295650,0.000854507,0.274047187,0.031268905,0.428970054,0.108537508,0.002124924,0.117687538,0.036501815,0.123653962,0.745235935
European,All,2015,23,33201,398376,387522,156,76932,12078,195642,38595,885,50169,13065,49488,297444,0.000402558,0.198522923,0.031167263,0.504853918,0.099594346,0.002283741,0.129461037,0.033714215,0.127703717,0.767553842
European,All,2015,24,34371,412452,401067,180,62322,11166,222087,37551,1359,54303,12102,50475,312609,0.000448803,0.155390496,0.027840735,0.553740397,0.093627748,0.003388461,0.13539633,0.030174509,0.12585179,0.779443335
Maori,All,2013,15,10473,125688,124569,117021,129,0,45,414,0,5292,1665,0,6228,0.939407076,0.001035571,0,0.000361246,0.003323459,0,0.04248248,0.013366086,0,0.049996388
Maori,All,2013,16,9399,112764,111666,93615,5400,45,522,1224,36,8154,2670,1428,12657,0.838348289,0.048358498,0.000402987,0.004674655,0.010961259,0.00032239,0.073021331,0.023910591,0.012788136,0.113346945
Maori,All,2013,17,8922,107064,105930,66567,15273,354,2871,4278,108,12465,4020,6522,24420,0.628405551,0.144180119,0.00334183,0.027102804,0.04038516,0.001019541,0.117672048,0.037949589,0.061568961,0.230529595
Maori,All,2013,18,8931,107196,105750,36546,22473,1110,8832,10839,468,19428,6057,16467,37455,0.345588652,0.212510638,0.010496454,0.08351773,0.102496454,0.004425532,0.183716312,0.057276596,0.155716312,0.354184397
Maori,All,2013,19,8484,101820,100248,5658,24429,1812,16743,16512,714,26487,7905,30450,44418,0.056440029,0.24368566,0.018075174,0.167015801,0.164711515,0.007122337,0.264214747,0.078854441,0.303746708,0.443081159
Maori,All,2013,20,8688,104280,102765,1125,22248,3102,22032,16245,1206,30267,6537,34767,50463,0.010947307,0.216493942,0.030185374,0.21439206,0.158079113,0.011735513,0.294526347,0.063611152,0.338315574,0.491052401
Maori,All,2013,21,8811,105756,104067,576,18798,3264,26613,15201,1455,32139,6006,37119,53595,0.005534896,0.18063363,0.031364409,0.255729482,0.146069359,0.013981377,0.308829888,0.05771282,0.356683675,0.515004757
Maori,All,2013,22,9504,114048,112323,93,19167,4008,32487,15381,1686,33483,6027,39507,60765,0.000827969,0.17064181,0.035682808,0.289228386,0.136935445,0.015010283,0.298095671,0.053657755,0.351726717,0.540984482
Maori,All,2013,23,9156,109872,108351,57,16227,3777,33063,13488,1689,34836,5208,39942,58107,0.000526068,0.149763269,0.034858931,0.305147161,0.124484315,0.015588227,0.321510646,0.048066008,0.368635269,0.536284852
