year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2013,6,20-24,1,10968,1269,873,606,339,162,2541,4992,2634,2247,708,1908,7140,27,18,0,1461,1458,0,Male
2014,0,15-19,0,252162,1899,885,468,390,201,16038,2433,1281,729,498,270,20163,13428,11238,2823,17346,14700,3876,All
2014,0,15-19,0,125691,999,384,270,162,105,8823,1293,594,417,201,135,11094,7551,6063,1899,9753,7956,2586,Female
2014,0,15-19,0,126471,900,501,198,228,96,7215,1140,687,309,297,135,9069,5877,5175,921,7593,6747,1290,Male
2014,0,15-19,1,15102,1764,759,465,345,198,5751,2130,972,669,378,231,7134,3405,1533,2268,4887,2898,2805,All
2014,0,15-19,1,8706,939,330,267,153,102,3405,1146,453,393,165,120,4278,2232,939,1560,3168,1782,1920,Female
2014,0,15-19,1,6399,825,429,198,192,93,2346,984,519,279,210,111,2859,1173,594,708,1719,1116,882,Male
2014,0,20-24,0,267990,5409,3495,1521,1443,639,10179,32622,21462,12873,4815,9984,60993,144,15,129,17661,16644,1248,All
2014,0,20-24,0,133092,2571,1527,852,585,309,4854,15927,9657,6834,1899,4125,30465,126,0,117,9732,8817,1119,Female
2014,0,20-24,0,134898,2838,1968,666,855,330,5325,16692,11805,6036,2916,5859,30525,21,0,12,7929,7827,132,Male
2014,0,20-24,1,56859,5196,3147,1512,1386,633,9555,17541,10623,8082,2628,4329,28281,129,0,117,6771,5895,1083,All
2014,0,20-24,1,34431,2493,1416,852,570,306,4635,9582,5343,4809,1137,2115,16227,114,0,105,4488,3669,1005,Female
2014,0,20-24,1,22431,2703,1731,657,819,327,4920,7959,5283,3276,1491,2211,12054,15,0,12,2283,2223,81,Male
2014,1,15-19,0,6429,75,24,42,24,24,966,111,45,75,33,30,1230,846,621,330,1101,876,438,All
2014,1,15-19,0,2136,18,0,21,0,0,303,33,0,36,0,0,393,273,183,120,354,267,159,Female
2014,1,15-19,0,4293,57,21,21,21,15,660,81,36,39,27,21,837,570,438,210,747,606,282,Male
2014,1,15-19,1,3084,75,21,42,21,24,621,108,36,75,27,30,813,504,294,300,696,492,390,All
2014,1,15-19,1,1167,21,0,21,0,0,222,33,0,36,0,0,297,186,102,111,255,174,147,Female
2014,1,15-19,1,1920,57,18,21,18,15,399,75,27,42,21,18,516,315,192,189,438,318,243,Male
2014,1,20-24,0,7638,666,318,144,198,69,1131,3408,1698,1275,501,1053,4884,0,0,0,1068,1026,60,All
2014,1,20-24,0,981,69,18,18,0,0,102,411,144,192,24,84,615,0,0,0,162,141,30,Female
2014,1,20-24,0,6654,597,300,129,189,66,1029,2994,1557,1083,477,969,4269,0,0,0,909,888,33,Male
2014,1,20-24,1,5025,645,306,144,189,66,1089,2598,1305,1029,378,768,3633,0,0,0,807,771,51,All
2014,1,20-24,1,855,66,18,18,0,0,99,384,132,180,24,75,561,0,0,0,144,126,27,Female
2014,1,20-24,1,4170,579,288,129,183,66,990,2214,1173,849,357,693,3075,0,0,0,660,648,21,Male
2014,2,15-19,0,12342,0,0,24,0,0,3363,0,18,27,0,0,3444,3357,2517,1431,3435,2679,1476,All
2014,2,15-19,0,5673,0,0,24,0,0,1677,0,0,24,0,0,1713,1674,1179,825,1710,1260,846,Female
2014,2,15-19,0,6669,0,0,0,0,0,1689,0,0,0,0,0,1728,1683,1338,609,1722,1416,633,Male
2014,2,15-19,1,1428,0,0,24,0,0,1245,0,0,27,0,0,1254,1245,507,1200,1251,606,1203,All
2014,2,15-19,1,789,0,0,21,0,0,717,0,0,24,0,0,720,717,270,696,717,327,696,Female
2014,2,15-19,1,639,0,0,0,0,0,528,0,0,0,0,0,534,528,234,507,531,282,510,Male
2014,2,20-24,0,8775,675,390,207,180,87,1260,3786,2232,1653,573,1338,5670,0,0,0,1269,1167,132,All
2014,2,20-24,0,2748,189,90,93,39,27,357,1212,534,621,120,306,1818,0,0,0,450,372,96,Female
